Term Number,Link,Portrait,Name,State,Term Years,Vice Presidents,Trivia
34,http://www.ipl.org/div/potus/ddeisenhower.html,http://millercenter.org/images/entry/large/751d3b3c45643e44fed16252ae90df57.jpg,Dwight D. Eisenhower,Texas,1953-1961,Richard M. Nixon,Commander of Allied Forces during World War II
35,http://www.ipl.org/div/potus/jfkennedy.html,http://millercenter.org/images/entry/large/ae956619ba3957b80cdde1adc5f88b00.jpg,John F. Kennedy,Mass.,1961-1963,Lyndon B. Johnson,"Youngest elected President, first Catholic President"
36,http://www.ipl.org/div/potus/lbjohnson.html,http://millercenter.org/images/entry/large/e86014d5720128d0c50139020ee98898.jpg,Lyndon B. Johnson,Texas,1963-1969,Hubert Humphrey,Was an auto mechanic and teacher before being President
37,http://www.ipl.org/div/potus/rmnixon.html,http://millercenter.org/images/entry/large/46777979a5472b45b7a2862507107d24.jpg,Richard M. Nixon,California,1969-1974,"Spiro Agnew, Gerald R. Ford",Recommended a play to the Miami Dolphins in Super Bowl VI
38,http://www.ipl.org/div/potus/grford.html,http://millercenter.org/images/entry/large/67ce23c7f6049d5bb2c30304419fabf0.jpg,Gerald R. Ford,Nebraska,1974-1977,Nelson A. Rockerfeller,Held his daughter's High School prom in the White House
39,http://www.ipl.org/div/potus/jecarter.html,http://millercenter.org/images/entry/large/ec7c8e24673ee6193f619e8e17852451.jpg,Jimmy Carter,Georgia,1977-1981,Walter F. Mondale,First President born in a hospital
40,http://www.ipl.org/div/potus/rwreagan.html,http://millercenter.org/images/entry/large/fb8a5e8227279d9d08f10bdee37858ea.jpg,Ronald Reagan,Illinois,1981-1989,George Bush,Oldest President (69-77)
41,http://www.ipl.org/div/potus/ghwbush.html,http://millercenter.org/images/entry/large/bdf70712860283dd2902b3d01894ec16.jpg,George Bush,Mass.,1989-1993,J. Danforth Quayle,Survived 4 planes crashes during World War II
42,http://www.ipl.org/div/potus/wjclinton.html,http://millercenter.org/images/entry/large/d8e64019eba84d202be40263c3a0f182.jpg,William J. Clinton,Arkansas,1993-2001,Albert Gore,Played the saxophone on national TV
43,http://www.ipl.org/div/potus/gwbush.html,http://rlv.zcache.com/george_w_bush_official_portrait_photo_print-ra1b4304b7a8843f8a75ad48d4418bea1_zmv0f_8byvr_324.jpg,George W. Bush,Connecticut,2001-2009,Richard Cheney,Has a collection of over 250 signed baseballs
44,http://www.ipl.org/div/potus/bhobama.html,http://millercenter.org/images/entry/large/261036d18866ef4ff0a1db0c637cfd79.jpg,Barack Obama,Hawaii,2009-2016,Joseph Biden,The first African-American to become President - Go USA
